device,dtype,n,gflops
cpu,torch.float32,512,36.43934409640733
cpu,torch.float32,1024,44.98324030067992
cpu,torch.float32,2048,56.62089397325577
cpu,torch.float32,4096,50.720908684776695
cpu,torch.bfloat16,512,1709.7198501497587
cpu,torch.bfloat16,1024,2671.764731322137
cpu,torch.bfloat16,2048,2588.7646235287275
cpu,torch.bfloat16,4096,2834.1803353623955
cpu,torch.float16,512,3.0349975375176235
cpu,torch.float16,1024,1.1996394897992688
cpu,torch.float16,2048,0.43095945014721637
cpu,torch.float16,4096,0.4214281475437473
cuda,torch.float32,512,1631.79581929013
cuda,torch.float32,1024,7455.149377430829
cuda,torch.float32,2048,8137.520305608129
cuda,torch.float32,4096,7822.6644016773425
cuda,torch.bfloat16,512,13674.465971413894
cuda,torch.bfloat16,1024,57593.29300581416
cuda,torch.bfloat16,2048,65842.2758847258
cuda,torch.bfloat16,4096,67206.81785606276
cuda,torch.float16,512,13599.840737387356
cuda,torch.float16,1024,58162.936452913724
cuda,torch.float16,2048,66042.22195328522
cuda,torch.float16,4096,65583.19180960844
